RT_well_position,RT_barcode,hash_well,RT_condition
A01,RT_BC_97,01A01,BT112GF
A01,RT_BC_97,01A02,BT112GF
A01,RT_BC_97,01A03,BT112GF
A01,RT_BC_97,01A04,BT112GF
A01,RT_BC_97,01A05,BT112GF
A01,RT_BC_97,01A06,BT112GF
A01,RT_BC_97,01A07,BT112GF
A01,RT_BC_97,01A08,BT112GF
A01,RT_BC_97,01A09,BT112GF
A01,RT_BC_97,01A10,BT112GF
A01,RT_BC_97,01A11,BT112GF
A01,RT_BC_97,01A12,BT112GF
A01,RT_BC_97,01B01,BT112GF
A01,RT_BC_97,01B02,BT112GF
A01,RT_BC_97,01B03,BT112GF
A01,RT_BC_97,01B04,BT112GF
A01,RT_BC_97,01B05,BT112GF
A01,RT_BC_97,01B06,BT112GF
A01,RT_BC_97,01B07,BT112GF
A01,RT_BC_97,01B08,BT112GF
A01,RT_BC_97,01B09,BT112GF
A01,RT_BC_97,01B10,BT112GF
A01,RT_BC_97,01B11,BT112GF
A01,RT_BC_97,01B12,BT112GF
A01,RT_BC_97,01C01,BT112GF
A01,RT_BC_97,01C02,BT112GF
A01,RT_BC_97,01C03,BT112GF
A01,RT_BC_97,01C04,BT112GF
A01,RT_BC_97,01C05,BT112GF
A01,RT_BC_97,01C06,BT112GF
A01,RT_BC_97,01C07,BT112GF
A01,RT_BC_97,01C08,BT112GF
A01,RT_BC_97,01C09,BT112GF
A01,RT_BC_97,01C10,BT112GF
A01,RT_BC_97,01C11,BT112GF
A01,RT_BC_97,01C12,BT112GF
A01,RT_BC_97,01D01,BT112GF
A01,RT_BC_97,01D02,BT112GF
A01,RT_BC_97,01D03,BT112GF
A01,RT_BC_97,01D04,BT112GF
A01,RT_BC_97,01D05,BT112GF
A01,RT_BC_97,01D06,BT112GF
A01,RT_BC_97,01D07,BT112GF
A01,RT_BC_97,01D08,BT112GF
A01,RT_BC_97,01D09,BT112GF
A01,RT_BC_97,01D10,BT112GF
A01,RT_BC_97,01D11,BT112GF
A01,RT_BC_97,01D12,BT112GF
A01,RT_BC_97,01E01,BT112GF
A01,RT_BC_97,01E02,BT112GF
A01,RT_BC_97,01E03,BT112GF
A01,RT_BC_97,01E04,BT112GF
A01,RT_BC_97,01E05,BT112GF
A01,RT_BC_97,01E06,BT112GF
A01,RT_BC_97,01E07,BT112GF
A01,RT_BC_97,01E08,BT112GF
A01,RT_BC_97,01E09,BT112GF
A01,RT_BC_97,01E10,BT112GF
A01,RT_BC_97,01E11,BT112GF
A01,RT_BC_97,01E12,BT112GF
A01,RT_BC_97,01F01,BT112GF
A01,RT_BC_97,01F02,BT112GF
A01,RT_BC_97,01F03,BT112GF
A01,RT_BC_97,01F04,BT112GF
A01,RT_BC_97,01F05,BT112GF
A01,RT_BC_97,01F06,BT112GF
A01,RT_BC_97,01F07,BT112GF
A01,RT_BC_97,01F08,BT112GF
A01,RT_BC_97,01F09,BT112GF
A01,RT_BC_97,01F10,BT112GF
A01,RT_BC_97,01F11,BT112GF
A01,RT_BC_97,01F12,BT112GF
A01,RT_BC_97,01G01,BT112GF
A01,RT_BC_97,01G02,BT112GF
A01,RT_BC_97,01G03,BT112GF
A01,RT_BC_97,01G04,BT112GF
A01,RT_BC_97,01G05,BT112GF
A01,RT_BC_97,01G06,BT112GF
A01,RT_BC_97,01G07,BT112GF
A01,RT_BC_97,01G08,BT112GF
A01,RT_BC_97,01G09,BT112GF
A01,RT_BC_97,01G10,BT112GF
A01,RT_BC_97,01G11,BT112GF
A01,RT_BC_97,01G12,BT112GF
A01,RT_BC_97,01H01,BT112GF
A01,RT_BC_97,01H02,BT112GF
A01,RT_BC_97,01H03,BT112GF
A01,RT_BC_97,01H04,BT112GF
A01,RT_BC_97,01H05,BT112GF
A01,RT_BC_97,01H06,BT112GF
A01,RT_BC_97,01H07,BT112GF
A01,RT_BC_97,01H08,BT112GF
A01,RT_BC_97,01H09,BT112GF
A01,RT_BC_97,01H10,BT112GF
A01,RT_BC_97,01H11,BT112GF
A01,RT_BC_97,01H12,BT112GF
A01,RT_BC_97,02A01,BT112GF
A01,RT_BC_97,02A02,BT112GF
A01,RT_BC_97,02A03,BT112GF
A01,RT_BC_97,02A04,BT112GF
A01,RT_BC_97,02A05,BT112GF
A01,RT_BC_97,02A06,BT112GF
A01,RT_BC_97,02A07,BT112GF
A01,RT_BC_97,02A08,BT112GF
A01,RT_BC_97,02A09,BT112GF
A01,RT_BC_97,02A10,BT112GF
A01,RT_BC_97,02A11,BT112GF
A01,RT_BC_97,02A12,BT112GF
A01,RT_BC_97,02B01,BT112GF
A01,RT_BC_97,02B02,BT112GF
A01,RT_BC_97,02B03,BT112GF
A01,RT_BC_97,02B04,BT112GF
A01,RT_BC_97,02B05,BT112GF
A01,RT_BC_97,02B06,BT112GF
A01,RT_BC_97,02B07,BT112GF
A01,RT_BC_97,02B08,BT112GF
A01,RT_BC_97,02B09,BT112GF
A01,RT_BC_97,02B10,BT112GF
A01,RT_BC_97,02B11,BT112GF
A01,RT_BC_97,02B12,BT112GF
A01,RT_BC_97,02C01,BT112GF
A01,RT_BC_97,02C02,BT112GF
A01,RT_BC_97,02C03,BT112GF
A01,RT_BC_97,02C04,BT112GF
A01,RT_BC_97,02C05,BT112GF
A01,RT_BC_97,02C06,BT112GF
A01,RT_BC_97,02C07,BT112GF
A01,RT_BC_97,02C08,BT112GF
A01,RT_BC_97,02C09,BT112GF
A01,RT_BC_97,02C10,BT112GF
A01,RT_BC_97,02C11,BT112GF
A01,RT_BC_97,02C12,BT112GF
A01,RT_BC_97,02D01,BT112GF
A01,RT_BC_97,02D02,BT112GF
A01,RT_BC_97,02D03,BT112GF
A01,RT_BC_97,02D04,BT112GF
A01,RT_BC_97,02D05,BT112GF
A01,RT_BC_97,02D06,BT112GF
A01,RT_BC_97,02D07,BT112GF
A01,RT_BC_97,02D08,BT112GF
A01,RT_BC_97,02D09,BT112GF
A01,RT_BC_97,02D10,BT112GF
A01,RT_BC_97,02D11,BT112GF
A01,RT_BC_97,02D12,BT112GF
A01,RT_BC_97,02E01,BT112GF
A01,RT_BC_97,02E02,BT112GF
A01,RT_BC_97,02E03,BT112GF
A01,RT_BC_97,02E04,BT112GF
A01,RT_BC_97,02E05,BT112GF
A01,RT_BC_97,02E06,BT112GF
A01,RT_BC_97,02E07,BT112GF
A01,RT_BC_97,02E08,BT112GF
A01,RT_BC_97,02E09,BT112GF
A01,RT_BC_97,02E10,BT112GF
A01,RT_BC_97,02E11,BT112GF
A01,RT_BC_97,02E12,BT112GF
A01,RT_BC_97,02F01,BT112GF
A01,RT_BC_97,02F02,BT112GF
A01,RT_BC_97,02F03,BT112GF
A01,RT_BC_97,02F04,BT112GF
A01,RT_BC_97,02F05,BT112GF
A01,RT_BC_97,02F06,BT112GF
A01,RT_BC_97,02F07,BT112GF
A01,RT_BC_97,02F08,BT112GF
A01,RT_BC_97,02F09,BT112GF
A01,RT_BC_97,02F10,BT112GF
A01,RT_BC_97,02F11,BT112GF
A01,RT_BC_97,02F12,BT112GF
A01,RT_BC_97,02G01,BT112GF
A01,RT_BC_97,02G02,BT112GF
A01,RT_BC_97,02G03,BT112GF
A01,RT_BC_97,02G04,BT112GF
A01,RT_BC_97,02G05,BT112GF
A01,RT_BC_97,02G06,BT112GF
A01,RT_BC_97,02G07,BT112GF
A01,RT_BC_97,02G08,BT112GF
A01,RT_BC_97,02G09,BT112GF
A01,RT_BC_97,02G10,BT112GF
A01,RT_BC_97,02G11,BT112GF
A01,RT_BC_97,02G12,BT112GF
A01,RT_BC_97,02H01,BT112GF
A01,RT_BC_97,02H02,BT112GF
A01,RT_BC_97,02H03,BT112GF
A01,RT_BC_97,02H04,BT112GF
A01,RT_BC_97,02H05,BT112GF
A01,RT_BC_97,02H06,BT112GF
A01,RT_BC_97,02H07,BT112GF
A01,RT_BC_97,02H08,BT112GF
A01,RT_BC_97,02H09,BT112GF
A01,RT_BC_97,02H10,BT112GF
A01,RT_BC_97,02H11,BT112GF
A01,RT_BC_97,02H12,BT112GF
A01,RT_BC_97,03A01,BT112GF
A01,RT_BC_97,03A02,BT112GF
A01,RT_BC_97,03A03,BT112GF
A01,RT_BC_97,03A04,BT112GF
A01,RT_BC_97,03A05,BT112GF
A01,RT_BC_97,03A06,BT112GF
A01,RT_BC_97,03A07,BT112GF
A01,RT_BC_97,03A08,BT112GF
A01,RT_BC_97,03A09,BT112GF
A01,RT_BC_97,03A10,BT112GF
A01,RT_BC_97,03A11,BT112GF
A01,RT_BC_97,03A12,BT112GF
A01,RT_BC_97,03B01,BT112GF
A01,RT_BC_97,03B02,BT112GF
A01,RT_BC_97,03B03,BT112GF
A01,RT_BC_97,03B04,BT112GF
A01,RT_BC_97,03B05,BT112GF
A01,RT_BC_97,03B06,BT112GF
A01,RT_BC_97,03B07,BT112GF
A01,RT_BC_97,03B08,BT112GF
A01,RT_BC_97,03B09,BT112GF
A01,RT_BC_97,03B10,BT112GF
A01,RT_BC_97,03B11,BT112GF
A01,RT_BC_97,03B12,BT112GF
A01,RT_BC_97,03C01,BT112GF
A01,RT_BC_97,03C02,BT112GF
A01,RT_BC_97,03C03,BT112GF
A01,RT_BC_97,03C04,BT112GF
A01,RT_BC_97,03C05,BT112GF
A01,RT_BC_97,03C06,BT112GF
A01,RT_BC_97,03C07,BT112GF
A01,RT_BC_97,03C08,BT112GF
A01,RT_BC_97,03C09,BT112GF
A01,RT_BC_97,03C10,BT112GF
A01,RT_BC_97,03C11,BT112GF
A01,RT_BC_97,03C12,BT112GF
A01,RT_BC_97,03D01,BT112GF
A01,RT_BC_97,03D02,BT112GF
A01,RT_BC_97,03D03,BT112GF
A01,RT_BC_97,03D04,BT112GF
A01,RT_BC_97,03D05,BT112GF
A01,RT_BC_97,03D06,BT112GF
A01,RT_BC_97,03D07,BT112GF
A01,RT_BC_97,03D08,BT112GF
A01,RT_BC_97,03D09,BT112GF
A01,RT_BC_97,03D10,BT112GF
A01,RT_BC_97,03D11,BT112GF
A01,RT_BC_97,03D12,BT112GF
A01,RT_BC_97,03E01,BT112GF
A01,RT_BC_97,03E02,BT112GF
A01,RT_BC_97,03E03,BT112GF
A01,RT_BC_97,03E04,BT112GF
A01,RT_BC_97,03E05,BT112GF
A01,RT_BC_97,03E06,BT112GF
A01,RT_BC_97,03E07,BT112GF
A01,RT_BC_97,03E08,BT112GF
A01,RT_BC_97,03E09,BT112GF
A01,RT_BC_97,03E10,BT112GF
A01,RT_BC_97,03E11,BT112GF
A01,RT_BC_97,03E12,BT112GF
A01,RT_BC_97,03F01,BT112GF
A01,RT_BC_97,03F02,BT112GF
A01,RT_BC_97,03F03,BT112GF
A01,RT_BC_97,03F04,BT112GF
A01,RT_BC_97,03F05,BT112GF
A01,RT_BC_97,03F06,BT112GF
A01,RT_BC_97,03F07,BT112GF
A01,RT_BC_97,03F08,BT112GF
A01,RT_BC_97,03F09,BT112GF
A01,RT_BC_97,03F10,BT112GF
A01,RT_BC_97,03F11,BT112GF
A01,RT_BC_97,03F12,BT112GF
A01,RT_BC_97,03G01,BT112GF
A01,RT_BC_97,03G02,BT112GF
A01,RT_BC_97,03G03,BT112GF
A01,RT_BC_97,03G04,BT112GF
A01,RT_BC_97,03G05,BT112GF
A01,RT_BC_97,03G06,BT112GF
A01,RT_BC_97,03G07,BT112GF
A01,RT_BC_97,03G08,BT112GF
A01,RT_BC_97,03G09,BT112GF
A01,RT_BC_97,03G10,BT112GF
A01,RT_BC_97,03G11,BT112GF
A01,RT_BC_97,03G12,BT112GF
A01,RT_BC_97,03H01,BT112GF
A01,RT_BC_97,03H02,BT112GF
A01,RT_BC_97,03H03,BT112GF
A01,RT_BC_97,03H04,BT112GF
A01,RT_BC_97,03H05,BT112GF
A01,RT_BC_97,03H06,BT112GF
A01,RT_BC_97,03H07,BT112GF
A01,RT_BC_97,03H08,BT112GF
A01,RT_BC_97,03H09,BT112GF
A01,RT_BC_97,03H10,BT112GF
A01,RT_BC_97,03H11,BT112GF
A01,RT_BC_97,03H12,BT112GF
A02,RT_BC_98,01A01,BT112GF
A02,RT_BC_98,01A02,BT112GF
A02,RT_BC_98,01A03,BT112GF
A02,RT_BC_98,01A04,BT112GF
A02,RT_BC_98,01A05,BT112GF
A02,RT_BC_98,01A06,BT112GF
A02,RT_BC_98,01A07,BT112GF
A02,RT_BC_98,01A08,BT112GF
A02,RT_BC_98,01A09,BT112GF
A02,RT_BC_98,01A10,BT112GF
A02,RT_BC_98,01A11,BT112GF
A02,RT_BC_98,01A12,BT112GF
A02,RT_BC_98,01B01,BT112GF
A02,RT_BC_98,01B02,BT112GF
A02,RT_BC_98,01B03,BT112GF
A02,RT_BC_98,01B04,BT112GF
A02,RT_BC_98,01B05,BT112GF
A02,RT_BC_98,01B06,BT112GF
A02,RT_BC_98,01B07,BT112GF
A02,RT_BC_98,01B08,BT112GF
A02,RT_BC_98,01B09,BT112GF
A02,RT_BC_98,01B10,BT112GF
A02,RT_BC_98,01B11,BT112GF
A02,RT_BC_98,01B12,BT112GF
A02,RT_BC_98,01C01,BT112GF
A02,RT_BC_98,01C02,BT112GF
A02,RT_BC_98,01C03,BT112GF
A02,RT_BC_98,01C04,BT112GF
A02,RT_BC_98,01C05,BT112GF
A02,RT_BC_98,01C06,BT112GF
A02,RT_BC_98,01C07,BT112GF
A02,RT_BC_98,01C08,BT112GF
A02,RT_BC_98,01C09,BT112GF
A02,RT_BC_98,01C10,BT112GF
A02,RT_BC_98,01C11,BT112GF
A02,RT_BC_98,01C12,BT112GF
A02,RT_BC_98,01D01,BT112GF
A02,RT_BC_98,01D02,BT112GF
A02,RT_BC_98,01D03,BT112GF
A02,RT_BC_98,01D04,BT112GF
A02,RT_BC_98,01D05,BT112GF
A02,RT_BC_98,01D06,BT112GF
A02,RT_BC_98,01D07,BT112GF
A02,RT_BC_98,01D08,BT112GF
A02,RT_BC_98,01D09,BT112GF
A02,RT_BC_98,01D10,BT112GF
A02,RT_BC_98,01D11,BT112GF
A02,RT_BC_98,01D12,BT112GF
A02,RT_BC_98,01E01,BT112GF
A02,RT_BC_98,01E02,BT112GF
A02,RT_BC_98,01E03,BT112GF
A02,RT_BC_98,01E04,BT112GF
A02,RT_BC_98,01E05,BT112GF
A02,RT_BC_98,01E06,BT112GF
A02,RT_BC_98,01E07,BT112GF
A02,RT_BC_98,01E08,BT112GF
A02,RT_BC_98,01E09,BT112GF
A02,RT_BC_98,01E10,BT112GF
A02,RT_BC_98,01E11,BT112GF
A02,RT_BC_98,01E12,BT112GF
A02,RT_BC_98,01F01,BT112GF
A02,RT_BC_98,01F02,BT112GF
A02,RT_BC_98,01F03,BT112GF
A02,RT_BC_98,01F04,BT112GF
A02,RT_BC_98,01F05,BT112GF
A02,RT_BC_98,01F06,BT112GF
A02,RT_BC_98,01F07,BT112GF
A02,RT_BC_98,01F08,BT112GF
A02,RT_BC_98,01F09,BT112GF
A02,RT_BC_98,01F10,BT112GF
A02,RT_BC_98,01F11,BT112GF
A02,RT_BC_98,01F12,BT112GF
A02,RT_BC_98,01G01,BT112GF
A02,RT_BC_98,01G02,BT112GF
A02,RT_BC_98,01G03,BT112GF
A02,RT_BC_98,01G04,BT112GF
A02,RT_BC_98,01G05,BT112GF
A02,RT_BC_98,01G06,BT112GF
A02,RT_BC_98,01G07,BT112GF
A02,RT_BC_98,01G08,BT112GF
A02,RT_BC_98,01G09,BT112GF
A02,RT_BC_98,01G10,BT112GF
A02,RT_BC_98,01G11,BT112GF
A02,RT_BC_98,01G12,BT112GF
A02,RT_BC_98,01H01,BT112GF
A02,RT_BC_98,01H02,BT112GF
A02,RT_BC_98,01H03,BT112GF
A02,RT_BC_98,01H04,BT112GF
A02,RT_BC_98,01H05,BT112GF
A02,RT_BC_98,01H06,BT112GF
A02,RT_BC_98,01H07,BT112GF
A02,RT_BC_98,01H08,BT112GF
A02,RT_BC_98,01H09,BT112GF
A02,RT_BC_98,01H10,BT112GF
A02,RT_BC_98,01H11,BT112GF
A02,RT_BC_98,01H12,BT112GF
A02,RT_BC_98,02A01,BT112GF
A02,RT_BC_98,02A02,BT112GF
A02,RT_BC_98,02A03,BT112GF
A02,RT_BC_98,02A04,BT112GF
A02,RT_BC_98,02A05,BT112GF
A02,RT_BC_98,02A06,BT112GF
A02,RT_BC_98,02A07,BT112GF
A02,RT_BC_98,02A08,BT112GF
A02,RT_BC_98,02A09,BT112GF
A02,RT_BC_98,02A10,BT112GF
A02,RT_BC_98,02A11,BT112GF
A02,RT_BC_98,02A12,BT112GF
A02,RT_BC_98,02B01,BT112GF
A02,RT_BC_98,02B02,BT112GF
A02,RT_BC_98,02B03,BT112GF
A02,RT_BC_98,02B04,BT112GF
A02,RT_BC_98,02B05,BT112GF
A02,RT_BC_98,02B06,BT112GF
A02,RT_BC_98,02B07,BT112GF
A02,RT_BC_98,02B08,BT112GF
A02,RT_BC_98,02B09,BT112GF
A02,RT_BC_98,02B10,BT112GF
A02,RT_BC_98,02B11,BT112GF
A02,RT_BC_98,02B12,BT112GF
A02,RT_BC_98,02C01,BT112GF
A02,RT_BC_98,02C02,BT112GF
A02,RT_BC_98,02C03,BT112GF
A02,RT_BC_98,02C04,BT112GF
A02,RT_BC_98,02C05,BT112GF
A02,RT_BC_98,02C06,BT112GF
A02,RT_BC_98,02C07,BT112GF
A02,RT_BC_98,02C08,BT112GF
A02,RT_BC_98,02C09,BT112GF
A02,RT_BC_98,02C10,BT112GF
A02,RT_BC_98,02C11,BT112GF
A02,RT_BC_98,02C12,BT112GF
A02,RT_BC_98,02D01,BT112GF
A02,RT_BC_98,02D02,BT112GF
A02,RT_BC_98,02D03,BT112GF
A02,RT_BC_98,02D04,BT112GF
A02,RT_BC_98,02D05,BT112GF
A02,RT_BC_98,02D06,BT112GF
A02,RT_BC_98,02D07,BT112GF
A02,RT_BC_98,02D08,BT112GF
A02,RT_BC_98,02D09,BT112GF
A02,RT_BC_98,02D10,BT112GF
A02,RT_BC_98,02D11,BT112GF
A02,RT_BC_98,02D12,BT112GF
A02,RT_BC_98,02E01,BT112GF
A02,RT_BC_98,02E02,BT112GF
A02,RT_BC_98,02E03,BT112GF
A02,RT_BC_98,02E04,BT112GF
A02,RT_BC_98,02E05,BT112GF
A02,RT_BC_98,02E06,BT112GF
A02,RT_BC_98,02E07,BT112GF
A02,RT_BC_98,02E08,BT112GF
A02,RT_BC_98,02E09,BT112GF
A02,RT_BC_98,02E10,BT112GF
A02,RT_BC_98,02E11,BT112GF
A02,RT_BC_98,02E12,BT112GF
A02,RT_BC_98,02F01,BT112GF
A02,RT_BC_98,02F02,BT112GF
A02,RT_BC_98,02F03,BT112GF
A02,RT_BC_98,02F04,BT112GF
