,drug response class
0,BT112_11
1,BT112_11
2,BT112_11
3,BT112_11
4,BT112_11
5,BT112_11
6,BT112_11
7,BT112_11
8,BT228_7
9,BT228_4
10,BT228_7
11,BT228_4
12,BT228_7
13,BT228_5
14,BT228_7
15,BT228_2
16,BT228_7
17,BT228_7
18,BT228_7
19,BT228_3
20,BT228_7
21,BT228_7
22,BT228_7
23,BT228_7
24,BT228_4
25,BT228_7
26,BT228_7
27,BT228_7
28,BT228_5
29,BT228_7
30,BT228_7
31,BT228_5
32,BT228_7
33,BT228_7
34,BT333_7
35,BT333_9
36,BT333_7
37,BT333_9
38,BT333_9
39,BT333_9
40,BT333_9
41,BT333_9
42,BT333_12
43,BT333_7
44,BT333_9
45,BT333_7
46,BT333_7
47,BT333_9
48,BT333_9
49,BT333_9
50,BT333_9
51,BT333_12
52,BT333_9
53,BT333_10
54,BT333_12
55,BT333_9
56,BT333_3
57,BT333_10
58,BT333_9
59,BT333_9
60,BT333_12
61,BT333_9
62,BT333_9
63,BT333_10
64,BT333_12
65,BT333_9
66,BT333_9
67,BT333_9
68,BT333_10
69,BT333_9
70,BT333_9
71,BT333_9
72,BT333_12
73,BT333_9
74,BT112_13
75,BT112_11
76,BT112_11
77,BT112_11
78,BT112_12
79,BT112_7
80,BT112_11
81,BT112_11
82,BT112_11
83,BT112_11
84,BT112_11
85,BT112_11
86,BT112_11
87,BT112_11
88,BT112_11
89,BT112_11
90,BT112_11
91,BT112_12
92,BT112_11
93,BT112_11
94,BT112_11
95,BT112_11
96,BT112_11
97,BT112_23
98,BT112_11
99,BT112_12
100,BT112_11
101,BT112_11
102,BT112_11
103,BT112_11
104,BT112_11
105,BT112_11
106,BT112_13
107,BT112_11
108,BT112_11
109,BT112_11
110,BT112_11
111,BT112_11
112,BT112_11
113,BT112_11
114,BT228_2
115,BT228_7
116,BT228_5
117,BT228_7
118,BT228_7
119,BT228_2
120,BT228_5
121,BT228_7
122,BT228_4
123,BT228_7
124,BT228_7
125,BT228_7
126,BT228_7
127,BT228_3
128,BT228_2
129,BT228_7
130,BT228_7
131,BT333_9
132,BT333_9
133,BT333_9
134,BT333_12
135,BT333_9
136,BT333_8
137,BT333_9
138,BT333_9
139,BT333_7
140,BT333_9
141,BT333_10
142,BT333_12
143,BT333_9
144,BT333_9
145,BT333_7
146,BT333_9
147,BT333_22
148,BT333_9
149,BT333_9
150,BT333_9
151,BT333_9
152,BT333_9
153,BT333_18
154,BT333_7
155,BT333_10
156,BT333_9
157,BT333_3
158,BT112_11
159,BT112_11
160,BT112_11
161,BT112_11
162,BT112_11
163,BT112_12
164,BT112_11
165,BT112_11
166,BT112_11
167,BT112_11
168,BT112_11
169,BT112_3
170,BT112_11
171,BT112_11
172,BT112_11
173,BT112_11
174,BT112_11
175,BT112_11
176,BT112_11
177,BT112_11
178,BT112_11
179,BT112_11
180,BT112_11
181,BT112_11
182,BT112_11
183,BT112_11
184,BT112_11
185,BT112_11
186,BT112_11
187,BT112_11
188,BT112_11
189,BT112_11
190,BT112_11
191,BT112_11
192,BT112_11
193,BT112_4
194,BT112_12
195,BT112_11
196,BT112_11
197,BT112_11
198,BT112_6
199,BT112_11
200,BT112_11
201,BT228_7
202,BT228_18
203,BT228_7
204,BT228_7
205,BT228_7
206,BT228_5
207,BT228_4
208,BT228_7
209,BT228_5
210,BT228_5
211,BT228_7
212,BT228_7
213,BT228_9
214,BT228_5
215,BT228_3
216,BT228_5
217,BT228_2
218,BT228_7
219,BT228_2
220,BT228_5
221,BT228_7
222,BT228_7
223,BT228_2
224,BT228_5
225,BT228_7
226,BT228_7
227,BT228_7
228,BT228_7
229,BT228_7
230,BT333_12
231,BT333_9
232,BT333_4
233,BT333_9
234,BT333_9
235,BT333_9
236,BT333_7
237,BT333_9
238,BT333_9
239,BT333_9
240,BT333_3
241,BT333_9
242,BT333_23
243,BT333_16
244,BT333_3
245,BT333_9
246,BT333_9
247,BT333_9
248,BT333_9
249,BT333_9
250,BT333_9
251,BT333_9
252,BT333_9
253,BT333_9
254,BT333_9
255,BT333_9
256,BT333_9
257,BT333_23
258,BT112_11
259,BT112_11
260,BT112_11
261,BT112_13
262,BT112_11
263,BT112_11
264,BT112_11
265,BT112_11
266,BT112_11
267,BT112_11
268,BT112_11
269,BT112_11
270,BT112_12
271,BT112_11
272,BT112_15
273,BT112_11
274,BT112_6
275,BT112_16
276,BT112_11
277,BT112_11
278,BT112_11
279,BT112_11
280,BT112_11
281,BT112_11
282,BT112_11
283,BT112_11
284,BT112_11
285,BT112_11
286,BT112_11
287,BT112_11
288,BT112_11
289,BT112_11
290,BT112_12
291,BT112_11
292,BT112_11
293,BT112_11
294,BT228_7
295,BT228_7
296,BT228_7
297,BT228_7
298,BT228_5
299,BT228_8
300,BT228_5
301,BT228_7
302,BT228_5
303,BT228_7
304,BT228_7
305,BT228_7
306,BT228_7
307,BT228_7
308,BT228_7
309,BT228_7
310,BT228_4
311,BT228_4
312,BT228_7
313,BT228_7
314,BT228_7
315,BT228_5
316,BT228_5
317,BT228_5
318,BT228_5
319,BT228_7
320,BT228_5
321,BT228_4
322,BT228_5
323,BT228_7
324,BT333_9
325,BT333_9
326,BT333_15
327,BT333_9
328,BT333_9
329,BT333_9
330,BT333_9
331,BT333_9
332,BT333_9
333,BT333_9
334,BT333_9
335,BT333_12
336,BT333_10
337,BT333_9
338,BT333_12
339,BT333_9
340,BT333_9
341,BT333_9
342,BT333_9
343,BT333_9
344,BT333_9
345,BT333_9
346,BT112_11
347,BT112_11
348,BT112_11
349,BT112_4
350,BT112_11
351,BT112_12
352,BT112_11
353,BT112_11
354,BT112_12
355,BT112_11
356,BT112_11
357,BT112_11
358,BT112_11
359,BT112_11
360,BT112_11
361,BT112_11
362,BT112_11
363,BT112_11
364,BT112_11
365,BT112_11
366,BT112_11
367,BT112_11
368,BT112_11
369,BT112_11
370,BT112_12
371,BT112_11
372,BT112_11
373,BT112_11
374,BT112_11
375,BT112_13
376,BT112_5
377,BT112_11
378,BT112_11
379,BT112_11
380,BT112_11
381,BT112_11
382,BT112_11
383,BT112_11
384,BT112_11
385,BT112_11
386,BT112_11
387,BT112_11
388,BT112_12
389,BT112_11
390,BT112_11
391,BT228_3
392,BT228_7
393,BT228_7
394,BT228_7
395,BT228_7
396,BT228_2
397,BT228_2
398,BT228_7
399,BT228_7
400,BT228_2
401,BT228_13
402,BT228_7
403,BT228_7
404,BT228_7
405,BT228_7
406,BT228_7
407,BT228_7
408,BT228_7
409,BT228_7
410,BT228_5
411,BT228_7
412,BT228_7
413,BT228_7
414,BT228_7
415,BT228_5
416,BT228_7
417,BT228_7
418,BT228_4
419,BT228_5
420,BT228_7
421,BT228_7
422,BT228_7
423,BT228_7
424,BT228_7
425,BT228_5
426,BT228_7
427,BT333_10
428,BT333_10
429,BT333_9
430,BT333_9
431,BT333_9
432,BT333_12
433,BT333_10
434,BT333_9
435,BT333_9
436,BT333_9
437,BT333_9
438,BT333_9
439,BT333_7
440,BT333_9
441,BT333_9
442,BT333_9
443,BT333_9
444,BT333_11
445,BT333_10
446,BT333_9
447,BT333_9
448,BT333_8
449,BT333_9
450,BT333_9
451,BT333_9
452,BT333_9
453,BT333_9
454,BT333_9
455,BT333_9
456,BT333_15
457,BT333_9
458,BT333_9
459,BT333_9
460,BT333_9
461,BT333_10
462,BT333_12
463,BT333_9
464,BT333_12
465,BT333_9
466,BT333_9
467,BT333_9
468,BT333_9
469,BT333_9
470,BT112_11
471,BT112_11
472,BT112_11
473,BT112_11
474,BT112_11
475,BT112_11
476,BT112_11
477,BT112_17
478,BT112_11
479,BT112_11
480,BT112_11
481,BT112_11
482,BT112_11
483,BT112_23
484,BT112_11
485,BT112_11
486,BT112_11
487,BT112_11
488,BT112_11
489,BT112_11
490,BT112_11
491,BT112_11
492,BT112_11
493,BT112_11
494,BT112_11
495,BT112_11
496,BT112_14
497,BT112_17
498,BT112_11
499,BT112_11
500,BT112_11
501,BT112_11
502,BT112_1
503,BT112_11
504,BT112_11
505,BT112_11
506,BT112_11
507,BT228_7
508,BT228_6
509,BT228_7
510,BT228_7
511,BT228_7
512,BT228_7
513,BT228_7
514,BT228_7
515,BT228_7
516,BT228_7
517,BT228_7
518,BT228_7
519,BT228_7
520,BT228_7
521,BT228_7
522,BT228_7
523,BT228_7
524,BT228_7
525,BT228_2
526,BT228_7
527,BT228_7
528,BT228_7
529,BT228_7
530,BT228_7
531,BT333_9
532,BT333_10
533,BT333_22
534,BT333_7
535,BT333_13
536,BT333_9
537,BT333_9
538,BT333_7
539,BT333_7
540,BT333_9
541,BT333_9
542,BT333_9
543,BT333_10
544,BT333_9
545,BT333_10
546,BT333_12
547,BT333_9
548,BT333_9
549,BT333_9
550,BT333_9
551,BT333_7
552,BT333_9
553,BT333_9
554,BT333_9
555,BT112_11
556,BT112_11
557,BT112_11
558,BT112_11
559,BT112_11
560,BT112_11
561,BT112_11
562,BT112_11
563,BT112_11
564,BT112_12
565,BT112_11
566,BT112_12
567,BT112_11
568,BT112_11
569,BT112_11
570,BT112_11
571,BT112_11
572,BT112_11
573,BT112_11
574,BT112_11
575,BT112_11
576,BT112_16
577,BT112_13
578,BT112_11
579,BT112_11
580,BT112_11
581,BT112_11
582,BT112_12
583,BT112_11
584,BT112_11
585,BT112_11
586,BT112_11
587,BT112_11
588,BT228_7
589,BT228_7
590,BT228_7
591,BT228_7
592,BT228_7
593,BT228_7
594,BT228_7
595,BT228_7
596,BT228_7
597,BT228_7
598,BT228_5
599,BT228_7
600,BT228_4
601,BT228_7
602,BT228_7
603,BT228_5
604,BT333_9
605,BT333_9
606,BT333_9
607,BT333_9
608,BT333_9
609,BT333_9
610,BT333_9
611,BT333_9
612,BT333_9
613,BT333_9
614,BT333_9
615,BT333_9
616,BT333_9
617,BT333_12
618,BT333_10
619,BT333_7
620,BT333_9
621,BT333_9
622,BT333_9
623,BT333_9
624,BT333_9
625,BT333_9
626,BT112_11
627,BT112_11
628,BT112_11
629,BT112_11
630,BT112_11
631,BT112_11
632,BT112_11
633,BT112_11
634,BT112_13
635,BT112_11
636,BT112_11
637,BT112_12
638,BT112_11
639,BT112_11
640,BT112_11
641,BT112_17
642,BT112_11
643,BT112_11
644,BT112_11
645,BT112_11
646,BT112_11
647,BT112_11
648,BT112_13
649,BT112_11
650,BT112_11
651,BT112_11
652,BT112_11
653,BT112_11
654,BT112_11
655,BT112_11
656,BT112_11
657,BT112_11
658,BT112_11
659,BT112_11
660,BT112_11
661,BT228_7
662,BT228_2
663,BT228_7
664,BT228_4
665,BT228_7
666,BT228_4
667,BT228_7
668,BT228_7
669,BT228_4
670,BT228_7
671,BT228_7
672,BT228_7
673,BT228_2
674,BT228_5
675,BT228_2
676,BT228_7
677,BT228_5
678,BT228_19
679,BT228_7
680,BT228_7
681,BT333_9
682,BT333_9
683,BT333_9
684,BT333_7
685,BT333_9
686,BT333_9
687,BT333_9
688,BT333_9
689,BT333_12
690,BT333_9
691,BT333_9
692,BT333_9
693,BT333_10
694,BT333_9
695,BT333_9
696,BT333_9
697,BT333_9
698,BT333_11
699,BT333_9
700,BT333_12
701,BT333_9
702,BT333_9
703,BT333_9
704,BT333_23
705,BT333_9
706,BT333_9
707,BT333_9
708,BT333_9
709,BT333_9
710,BT333_9
711,BT333_7
712,BT333_7
713,BT333_9
714,BT112_11
715,BT112_11
716,BT112_11
717,BT112_11
718,BT112_11
719,BT112_11
720,BT112_11
721,BT112_16
722,BT112_11
723,BT112_11
724,BT112_12
725,BT112_11
726,BT112_11
727,BT112_11
728,BT112_11
729,BT112_17
730,BT112_11
731,BT112_11
732,BT112_11
733,BT112_11
734,BT112_12
735,BT112_11
736,BT112_3
737,BT112_12
738,BT112_11
739,BT112_11
740,BT112_11
741,BT112_17
742,BT112_12
743,BT112_11
744,BT112_11
745,BT112_11
746,BT112_11
747,BT112_15
748,BT112_11
749,BT112_11
750,BT112_11
751,BT112_11
752,BT112_11
753,BT112_11
754,BT112_11
755,BT112_11
756,BT112_11
757,BT112_11
758,BT228_5
759,BT228_7
760,BT228_4
761,BT228_7
762,BT228_2
763,BT228_7
764,BT228_7
765,BT228_7
766,BT228_2
767,BT228_5
768,BT228_7
769,BT228_7
770,BT228_5
771,BT228_7
772,BT228_7
773,BT228_4
774,BT228_7
775,BT228_5
776,BT228_7
777,BT228_4
778,BT228_7
779,BT228_8
780,BT228_7
781,BT228_7
782,BT228_5
783,BT228_7
784,BT228_7
785,BT228_5
786,BT228_7
787,BT228_7
788,BT228_5
789,BT228_3
790,BT228_7
791,BT228_7
792,BT228_5
793,BT228_7
794,BT228_7
795,BT228_7
796,BT228_7
797,BT228_7
798,BT228_7
799,BT228_7
800,BT228_7
801,BT228_7
802,BT333_9
803,BT333_9
804,BT333_7
805,BT333_12
806,BT333_9
807,BT333_10
808,BT333_9
809,BT333_9
810,BT333_9
811,BT333_9
812,BT333_9
813,BT333_12
814,BT333_11
815,BT333_12
816,BT333_12
817,BT333_10
818,BT333_9
819,BT333_9
820,BT333_7
821,BT333_9
822,BT333_9
823,BT333_9
824,BT333_12
825,BT333_10
826,BT333_10
827,BT333_9
828,BT333_12
829,BT333_9
830,BT333_9
831,BT333_12
832,BT333_10
833,BT333_11
834,BT333_2
835,BT333_9
836,BT333_9
837,BT333_9
838,BT333_9
839,BT112_11
840,BT112_11
841,BT112_11
842,BT112_11
843,BT112_11
844,BT112_11
845,BT112_15
846,BT112_7
847,BT112_11
848,BT112_11
849,BT112_11
850,BT112_11
851,BT112_11
852,BT112_11
853,BT112_11
854,BT112_22
855,BT112_11
856,BT112_11
857,BT112_11
858,BT112_12
859,BT112_11
860,BT112_11
861,BT112_11
862,BT112_12
863,BT112_11
864,BT112_11
865,BT112_11
866,BT112_12
867,BT112_11
868,BT112_11
869,BT112_11
870,BT112_15
871,BT112_11
872,BT112_11
873,BT112_9
874,BT112_11
875,BT112_11
876,BT112_11
877,BT112_11
878,BT112_11
879,BT112_11
880,BT112_11
881,BT112_11
882,BT112_11
883,BT112_11
884,BT112_11
885,BT112_11
886,BT112_11
887,BT112_12
888,BT112_11
889,BT112_11
890,BT112_11
891,BT112_11
892,BT228_5
893,BT228_5
894,BT228_5
895,BT228_7
896,BT228_7
897,BT228_7
898,BT228_7
899,BT228_4
900,BT228_7
901,BT228_7
902,BT228_18
903,BT228_4
904,BT228_7
905,BT228_7
906,BT228_7
907,BT228_5
908,BT228_7
909,BT228_7
910,BT228_7
911,BT228_3
912,BT228_7
913,BT228_7
914,BT228_7
915,BT228_4
916,BT228_7
917,BT228_5
918,BT228_7
919,BT228_7
920,BT333_11
921,BT333_9
922,BT333_9
923,BT333_9
924,BT333_9
925,BT333_6
926,BT333_11
927,BT333_9
928,BT333_9
929,BT333_9
930,BT333_9
931,BT333_9
932,BT333_9
933,BT333_9
934,BT333_7
935,BT333_9
936,BT333_13
937,BT333_9
938,BT333_7
939,BT333_12
940,BT333_9
941,BT333_7
942,BT333_9
943,BT333_9
944,BT333_7
945,BT333_9
946,BT333_9
947,BT333_12
948,BT333_9
949,BT333_9
950,BT333_12
951,BT333_15
952,BT333_10
953,BT333_9
954,BT333_9
955,BT333_11
956,BT333_9
957,BT333_11
958,BT333_24
959,BT333_8
960,BT112_11
961,BT112_11
962,BT112_11
963,BT112_13
964,BT112_11
965,BT112_11
966,BT112_11
967,BT112_11
968,BT112_11
969,BT112_12
970,BT112_11
971,BT112_11
972,BT112_11
973,BT112_11
974,BT112_17
975,BT112_11
976,BT112_11
977,BT112_11
978,BT112_23
979,BT112_11
980,BT112_11
981,BT112_11
982,BT112_11
983,BT112_11
984,BT112_11
985,BT112_11
986,BT112_11
987,BT112_11
988,BT112_11
989,BT112_11
990,BT112_13
991,BT112_11
992,BT112_13
993,BT112_11
994,BT112_11
995,BT112_11
996,BT112_11
997,BT112_11
998,BT112_11
999,BT112_11
1000,BT112_23
1001,BT112_11
1002,BT112_11
1003,BT112_13
1004,BT112_11
1005,BT112_11
1006,BT112_11
1007,BT112_11
1008,BT112_11
1009,BT112_11
1010,BT112_11
1011,BT112_11
1012,BT112_11
1013,BT112_13
1014,BT112_11
1015,BT112_11
1016,BT112_13
1017,BT112_11
1018,BT112_11
1019,BT112_11
1020,BT112_11
1021,BT228_7
1022,BT228_4
1023,BT228_7
1024,BT228_7
1025,BT228_7
1026,BT228_7
1027,BT228_5
1028,BT228_20
1029,BT228_7
1030,BT228_7
1031,BT228_4
1032,BT228_7
1033,BT228_7
1034,BT228_7
1035,BT228_7
1036,BT228_7
1037,BT228_7
1038,BT228_7
1039,BT228_7
1040,BT228_7
1041,BT228_5
1042,BT228_7
1043,BT228_7
1044,BT228_7
1045,BT228_7
1046,BT228_7
1047,BT228_7
1048,BT228_7
1049,BT228_5
1050,BT228_2
1051,BT228_7
1052,BT228_7
1053,BT333_9
1054,BT333_9
1055,BT333_9
1056,BT333_7
1057,BT333_9
1058,BT333_9
1059,BT333_9
1060,BT333_9
1061,BT333_12
1062,BT333_12
1063,BT333_9
1064,BT333_9
1065,BT333_9
