,0
0,CDK2
1,LARGE1
2,TCF7L1
3,PROX1
4,POC1B
5,ZFC3H1
6,CEBPZ
7,BCL9L
8,ARMC1
9,PLEKHA2
10,PSRC1
11,BMP2K
12,NCAN
13,HLA-DPA1
14,CFAP161
15,C1orf21
16,ARHGDIA
17,RSRC1
18,PLEKHG1
19,SHMT1
20,VARS
21,C4orf3
22,CLASP1
23,NPAS3
24,LARP6
25,DIS3L2
26,TLE4
27,SREBF1
28,ATP2B1
29,NRP2
30,ERLIN1
31,ARMC9
32,NRIP1
33,LGALS3BP
34,UCP2
35,SIX1
36,NCOA6
37,EMP2
38,ANKRD28
39,ATF5
40,CTDNEP1
41,SNTG1
42,PKD1
43,SLC2A6
44,CD276
45,DSEL
46,ANO6
47,EXT1
48,PBK
49,MAP3K4
50,TGFB1
51,SERTAD4
52,OLIG1
53,ITPR3
54,PAK3
55,SNTB2
56,NCOR2
57,FZR1
58,PRAF2
59,RFC3
60,NDUFA8
61,SIRPA
62,SLFN11
63,SCRG1
64,ID3
65,YBX3
66,MLC1
67,CKS2
68,C1orf159
69,SLC38A2
70,DNAJC2
71,STK17A
72,SCAMP1
73,PEA15
74,PVT1
75,CDCA7L
76,CDH11
77,GTF2I
78,GMDS
79,MAN2A2
80,BHLHE40
81,ARRDC3
82,KDM4A
83,TSPAN9
84,DNAJC13
85,ATP5S
86,MPP6
87,FAT3
88,CHRM3
89,PDPN
90,PTK2
91,NPTX1
92,FAM49B
93,CDC42SE2
94,UBE2J2
95,APBA2
96,STK32B
97,HES6
98,MEIS3
99,ANP32E
100,SMAD1
101,CEP85L
102,GNG12
103,SPRY1
104,VGF
105,PEAK1
106,NEDD4
107,SNX25
108,LDLRAD3
109,ATR
110,NIM1K
111,HDAC8
112,LEF1
113,STARD13
114,LSAMP
115,FCHSD2
116,LIMCH1
117,ASF1B
118,ENTPD4
119,PAX3
120,RICTOR
121,CSMD2
122,NTSR1
123,ANLN
124,MSH6
125,C9orf85
126,MTHFD1L
127,PRELP
128,RABGAP1L
129,TMEM250
130,BCL6
131,EGFEM1P
132,ZFAND3
133,PLOD2
134,MPLKIP
135,SAMD4A
136,CTNNAL1
137,TPM1
138,FAM129B
139,IER3IP1
140,ELAC2
141,DFFA
142,DMTF1
143,GUCY1A2
144,ETV6
145,SLCO4A1
146,SNRPD3
147,ZNF652
148,P4HA2
149,RRP7BP
150,ST6GAL1
151,KIF24
152,RAD18
153,ZNF814
154,WTAP
155,DVL2
156,ZBTB21
157,SUPT3H
158,FAM13A
159,CASK
160,DLG2
161,DPY19L1P1
162,CRYBG3
163,SS18
164,MFHAS1
165,TAF4
166,CARMIL1
167,TMTC2
168,MNAT1
169,CPSF2
170,TRIB3
171,NRCAM
172,GTF2H5
173,TET3
174,COL6A2
175,CSF1
176,RFX4
177,LMNB1
178,PTK7
179,CRIM1
180,FBXO11
181,ALPK2
182,TSC22D2
183,PRKN
184,PLEKHJ1
185,FKBP8
186,ZSCAN5A
187,AC002454.1
188,NOL4
189,LRP8
190,CPM
191,KIAA1217
192,CTNNBIP1
193,DIAPH1
194,ZC3H3
195,L1CAM
196,PLD1
197,NSMF
198,DOCK9
199,FRMD5
200,ZNF83
201,HERC4
202,NPRL3
203,ASPM
204,MXD4
205,MAGI3
206,CASC4
207,APOLD1
208,SLC25A23
209,PDE7B
210,XRCC4
211,GNGT1
212,MPHOSPH9
213,PHGDH
214,SHC3
215,SIPA1L1
216,MGAT5
217,MFSD14B
218,APLP1
219,SETBP1
220,PHC2
221,SLC3A2
222,PHLDA2
223,CKAP5
224,MARCH7
225,ECH1
226,NRSN2
227,PHF2
228,DIAPH3
229,HECW1
230,RNF44
231,AHR
232,MRPS18A
233,CYP1B1
234,PLEKHM3
235,LMF1
236,FAM83D
237,GNAO1
238,ZNF800
239,MORC3
240,CORO1C
241,RRP12
242,PTPRN2
243,C12orf43
244,MAML3
245,AC064875.1
246,LINC01572
247,GAB2
248,CRY1
249,FAM120AOS
250,PPP1R21
251,ARAP3
252,PLXNA2
253,TOB1
254,INTU
255,DGKI
256,FMNL2
257,FAM168A
258,USP31
259,FGD4
260,KRAS
261,TNFRSF10B
262,WDR4
263,YES1
264,ITFG2
265,EXTL2
266,PRTFDC1
267,OSBP2
268,CD164
269,PLTP
270,TMEM127
271,TRPM8
272,DDB2
273,HTRA1
274,FGFRL1
275,USP48
276,ECHS1
277,HELLS
278,PCYT2
279,APBB2
280,LINC00894
281,PLXNA1
282,CSRNP3
283,PTPRJ
284,BROX
285,LINC00174
286,TIAM2
287,HIST1H4C
288,LINC01505
289,LYST
290,BOC
291,SYVN1
292,TAOK2
293,MARCKSL1
294,EIF4ENIF1
295,GAMT
296,GPR137C
297,OGFR
298,GLS
299,GTSE1
300,EML6
301,AC004980.1
302,SQSTM1
303,PLP1
304,CIITA
305,ESPL1
306,CSPG5
307,ZDHHC14
308,PCDHGC3
309,ARID1B
310,OSBPL3
311,FXYD6
312,TMEFF2
313,MACROD1
314,PNPLA2
315,NLRP1
316,AXL
317,JMJD6
318,LINC01158
319,SMURF2
320,ZFHX4
321,COMMD2
322,PPAT
323,RAD51B
324,SAT1
325,ITGA3
326,MMP17
327,SUN2
328,RMI1
329,RUBCN
330,SHCBP1
331,PCOLCE2
332,COG8
333,SEC61G
334,PBX1
335,DENND6A
336,SMYD4
337,B4GALT6
338,TENM1
339,AKAP6
340,UTRN
341,KIAA0586
342,FHL2
343,TANC1
344,LIMD1
345,RUNX1
346,USP37
347,MED12L
348,ENPP2
349,RFTN2
350,DHCR24
351,PTPN4
352,PHF21B
353,CENPB
354,CERS2
355,KCTD13
356,LINC00511
357,UBALD2
358,PDE7A
359,SOGA1
360,COPS2
361,RNF126
362,SAMHD1
363,MAP1A
364,BRD1
365,FAM199X
366,HOXB3
367,ARSB
368,MEA1
369,TCFL5
370,KLHL22
371,SERPINE2
372,FAM200B
373,AF117829.1
374,PCBP4
375,KCNIP1
376,FST
377,CARD19
378,SH3PXD2B
379,TNIK
380,LINC01138
381,RAD1
382,PPIB
383,NOLC1
384,NETO2
385,ACER3
386,DMWD
387,SYNPO
388,MALAT1
389,PDGFA
390,FYCO1
391,AC004158.1
392,WIZ
393,PXN
394,TANC2
395,HEG1
396,JUND
397,OXR1
398,SYMPK
399,DNMT3A
400,HEATR6
401,SUZ12P1
402,CBLB
403,ZNF347
404,TMEM189
405,NCOA2
406,MCM4
407,BMPR1B
408,TRAF3IP2-AS1
409,PCBP1-AS1
410,NME1
411,CTIF
412,PPP1R18
413,CRAT
414,KIF5C
415,SIK3
416,DDX52
417,SMC2
418,SCRIB
419,AGO2
420,JARID2
421,CEP95
422,COL18A1
423,IGDCC4
424,MITF
425,CDK1
426,FOXP1
427,CEP112
428,BCAN
429,LATS1
430,ARHGEF28
431,SOD2
432,RASSF8
433,NTRK3
434,BTBD2
435,ESCO1
436,AC008014.1
437,SLC2A13
438,TRIM24
439,QARS
440,RRM2
441,RAD51D
442,MCM8
443,ILDR2
444,MEF2D
445,PIMREG
446,TICRR
447,RNF217
448,PTTG1
449,SH3PXD2A
450,C12orf65
451,LAMB1
452,JADE1
453,PTBP3
454,LHFPL3
455,COL19A1
456,FLOT1
457,RMST
458,ZNF142
459,MYBL2
460,SFT2D2
461,TEAD4
462,CAMK1D
463,APTX
464,NOS1AP
465,DCBLD2
466,GLI2
467,ARHGAP11B
468,TIAM1
469,BORCS5
470,PQBP1
471,RFC2
472,MEGF8
473,ANKMY1
474,ZYX
475,FRMD4A
476,ARHGEF6
477,ETFB
478,PPP1R15B
479,SLC16A2
480,HSPB1
481,KIF1A
482,GLIS3
483,IMMP2L
484,INPPL1
485,MAPK10
486,LINC00976
487,DCP2
488,GABBR2
489,SSX2IP
490,TWF1
491,FBXW7
492,UQCC1
493,CCDC18
494,MOB3B
495,NSUN2
496,MEIS1
497,RPS6KC1
498,NUSAP1
499,NUTM2A-AS1
500,BCL3
501,THAP4
502,QDPR
503,ATF4
504,KLHL4
505,AKT3
506,CTNNA3
507,PARD3B
508,LUC7L
509,MCUB
510,THRB
511,TMEM135
512,CYSTM1
513,CNOT4
514,RANBP10
515,BIRC2
516,CENPX
517,PSME1
518,NPAS2
519,KIF22
520,DLG1
521,MRPS2
522,PID1
523,ADGRL1
524,PNRC1
525,ANAPC1
526,MMADHC
527,BCL7B
528,DPF3
529,STAG1
530,ATAD2
531,ATP5O
532,ST8SIA5
533,CDK5
534,EGR1
535,GNG7
536,TGFB2
537,HSPG2
538,FGD1
539,NECTIN1
540,POLQ
541,CUBN
542,ZNF445
543,SIPA1L2
544,PDCD5
545,MICALL2
546,ITGA7
547,PHLPP2
548,CLSPN
549,KLHL25
550,ATL2
551,FSTL1
552,SLC35G2
553,WBP2
554,NCOA3
555,KCNE4
556,GRAMD2B
557,CKAP2L
558,TTC28
559,CMIP
560,NR6A1
561,TPT1-AS1
562,ELMOD1
563,CAMTA1
564,RELL1
565,DCX
566,MTTP
567,AC006001.3
568,AQP1
569,DNMBP
570,MRPS6
571,CDC42EP4
572,UCK1
573,POLR2A
574,CDK19
575,RIOK3
576,MOB3A
577,ERAP1
578,CUTA
579,LINC01004
580,SDCCAG3
581,HLTF
582,STYXL1
583,SH3GLB2
584,FAM111A
585,DDX31
586,KNTC1
587,RAPH1
588,GINM1
589,SHROOM4
590,FRMD8
591,SCD
592,EPB41L2
593,C11orf84
594,ANXA1
595,SCG2
596,PLEKHH2
597,DAB2IP
598,KIAA0907
599,NFIA
600,CEP170
601,OSBPL10
602,ATP1B2
603,MAPK8IP1
604,YIPF3
605,FTH1
606,SOCS2
607,BACH2
608,FAM120B
609,MAP3K14
610,KHDRBS3
611,SAMD5
612,SMURF1
613,STX2
614,FOXN3
615,NCEH1
616,PCCA
617,PIAS3
618,PPP6R2
619,HYAL2
620,RBBP8
621,TFE3
622,ZC3H8
623,DAB1
624,PAXBP1
625,ALCAM
626,SYNJ1
627,MICU1
628,PDP1
629,ACVR2A
630,GTPBP6
631,WDR44
632,SLAIN1
633,SLC30A9
634,FRMD4B
635,CLOCK
636,POT1
637,ELOA
638,KDM2B
639,NIPAL3
640,SBF2
641,RANGAP1
642,FNBP4
643,DUSP3
644,AC003991.1
645,EP400NL
646,MRPL9
647,DLX1
648,PRICKLE2
649,AC016831.1
650,ARHGAP5
651,TLN1
652,MAX
653,NLGN2
654,RNF168
655,VPS37B
656,KIF18B
657,ZRANB2
658,CAVIN1
659,ARID4B
660,NEFL
661,ENC1
662,ARL15
663,LIPE-AS1
664,KLHDC8A
665,DHPS
666,MAMLD1
667,ATG2B
668,TMEM260
669,GINS1
670,ELMO1
671,AP001347.1
672,RHBDF1
673,AC078923.1
674,CAV1
675,RBM23
676,SESN2
677,RAB29
678,SERTAD2
679,SEPT10
680,LARP4B
681,FLNB
682,COL23A1
683,SPTLC2
684,CLU
685,EIF2B2
686,DBF4B
687,POGLUT1
688,TMEM117
689,DTL
690,PCDH17
691,FAM189B
692,DMD
693,FOSL1
694,ZNRF3
695,NHP2
696,ZNF266
697,HERPUD1
698,RPS6KA2
699,PEX1
700,GATAD2B
701,MIR181A1HG
702,CEBPG
703,ADAMTS1
704,NOVA1
705,OTUD5
706,CRCP
707,TNFRSF19
708,MAPK1
709,BIRC5
710,STMN3
711,FOXM1
712,KANSL1L
713,POP5
714,STK40
715,ENO2
716,JAKMIP2
717,SBDS
718,RGS17
719,CKAP2
720,SCLT1
721,PRKG1
722,AURKAIP1
723,TRIM9
724,VEGFA
725,SEC24A
726,STK33
727,MAN1A1
728,ZFP82
729,ZCCHC7
730,BMP7
731,SPART
732,DENR
733,MAP2K3
734,NCOA1
735,CTTNBP2
736,ARMCX4
737,TEAD1
738,TMEM126B
739,GNL1
740,TRIM2
741,PCNA
742,DGKH
743,CDC6
744,RAPGEF4
745,HECTD4
746,KIF9-AS1
747,TSHZ1
748,TNFRSF21
749,ARFGEF3
750,ATP2C1
751,KIF14
752,SELENOF
753,SFSWAP
754,PERP
755,WDR59
756,DOCK4
757,AGPAT4
758,HLA-DPB1
759,GRK4
760,FIRRE
761,PARP6
762,AC011228.1
763,RFLNB
764,TCEAL9
765,NUDCD1
766,GGCX
767,HLA-DRB1
768,DHX32
769,THY1
770,GPATCH4
771,RORA
772,RAB8B
773,LGR4
774,NFATC2
775,MEX3A
776,GRB10
777,AKT2
778,PTPN14
779,SLITRK5
780,NME3
781,GDNF
782,SSPN
783,NDUFS1
784,B3GALNT2
785,NDST1
786,PIK3R1
787,MMS22L
788,HPS4
789,FTX
790,PAFAH1B3
791,PDE1C
792,INTS3
793,CLN6
794,PDE10A
795,ABCC3
796,RGMB
797,IRF2BPL
798,LARP1B
799,SULF2
800,HAPLN1
801,SLC25A11
802,MED16
803,NF2
804,EPAS1
805,ZNF608
806,KIF2C
807,SMAD3
808,FBXL5
809,KRR1
810,GINS2
811,SRPX
812,RBM39
813,MDGA2
814,SLC19A1
815,SLCO3A1
816,HLA-DRA
817,CARHSP1
818,ALMS1
819,SLC6A8
820,FAM181B
821,AP3B1
822,THSD7A
823,VCL
824,MYBL1
825,CRTC3
826,RFWD2
827,NDC80
828,TEX2
829,DENND4C
830,SFI1
831,ABHD17A
832,IBTK
833,DCHS1
834,GULP1
835,IER2
836,G2E3
837,WDHD1
838,ANGPTL2
839,SEZ6L
840,NUMBL
841,CEP120
842,ITGAE
843,MYC
844,JPT1
845,TP53BP2
846,AUH
847,SESTD1
848,USP19
849,SMS
850,ZRANB3
851,GALNT2
852,CHMP4B
853,FNBP1
854,DNER
855,CCDC167
856,ATP5C1
857,UNC80
858,NRF1
859,NARS2
860,GTF3C6
861,MAP3K20
862,HMGCR
863,ACSS3
864,PHF21A
865,GRIA2
866,LMCD1-AS1
867,ACD
868,WWP2
869,PHF12
870,C10orf90
871,CDKN3
872,BRD3
873,PARP14
874,NT5E
875,GPHN
876,MAP4K5
877,ABR
878,IQGAP3
879,ADAM9
880,SLC38A9
881,PNO1
882,ZNF618
883,PIP5K1C
884,NCAPH
885,TWIST1
886,NUTM2B-AS1
887,PRR11
888,OXCT1
889,CD46
890,SATB2
891,TXNDC11
892,SP3
893,MIR4435-2HG
894,AC069208.1
895,CHAF1A
896,SETD1B
897,NLGN3
898,C5orf42
899,PRRC2A
900,KMT2D
901,CCDC77
902,PRICKLE1
903,C10orf76
904,POLG
905,TERF2IP
906,ARFIP2
907,RNF180
908,DHX38
909,CARS
910,F2R
911,AK4
912,FIGN
913,ALDH1A3
914,SACS
915,C19orf48
916,HCG18
917,XPR1
918,TCP11L1
919,CDCA4
920,HIVEP3
921,MCM2
922,SCD5
923,KLHL13
924,CPE
925,HIST1H1D
926,ADAM23
927,PATZ1
928,DOCK6
929,SP100
930,PLCB1
931,GPC6
932,AHNAK2
933,MELK
934,LHFPL2
935,NACC2
936,GNG4
937,SH3RF3
938,TTLL5
939,CYTOR
940,RNF10
941,TCTA
942,PLAT
943,RTL8A
944,TGFBR2
945,UBTF
946,AC073050.1
947,RAB11FIP4
948,IQSEC1
949,MIR100HG
950,POLR3H
951,AL390879.2
952,CDCA5
953,RTN1
954,PTCH1
955,BCL2L2-PABPN1
956,WBP11
957,EMC3
958,PITPNC1
959,SNTB1
960,NBEA
961,CELSR1
962,SORBS1
963,SLC9A3R1
964,AC099850.2
965,C20orf194
966,CHD7
967,PPP2R2A
968,PELI1
969,SPAG16
970,SH3BP5
971,HMGCS1
972,ATAD5
973,ANTXR1
974,EIF2AK3
975,SARS
976,C9orf3
977,AFAP1
978,PAN3
979,HSPH1
980,DCLK1
981,CCDC82
982,MCAM
983,EDIL3
984,ST7L
985,ATCAY
986,WSCD1
987,PPP2R5A
988,CHL1
989,VPS36
990,NUDT5
991,ZDHHC17
992,GCLM
993,IRAK1BP1
994,PDLIM5
995,NDUFAF6
996,THBS1
997,NAALADL2
998,PEG10
999,KIF4A
1000,INPP5F
1001,DLGAP5
1002,ATG10
1003,RBCK1
1004,CHCHD10
1005,CENPP
1006,ZNF426
1007,VANGL1
1008,SMYD3
1009,PSPC1
1010,LSM10
1011,RAB5C
1012,SNX4
1013,OPHN1
1014,ARAP2
1015,MZT1
1016,C20orf27
1017,TARS
1018,TRIM47
1019,C7orf49
1020,CDH13
1021,INSR
1022,NCK1
1023,ZBTB11
1024,HSPA4
1025,TXN
1026,DCAF1
1027,NRG2
1028,FAM171B
1029,CSTF3
1030,BTG2
1031,ZNF521
1032,PYGL
1033,FTL
1034,EIF2A
1035,APC2
1036,ZFP64
1037,PDGFC
1038,CCDC80
1039,MAEA
1040,LSM5
1041,SASH1
1042,NKD1
1043,SOX4
1044,RACGAP1
1045,CDK14
1046,COL1A2
1047,SUSD6
1048,PRKD1
1049,TRAPPC8
1050,AC092958.1
1051,MAP4K3
1052,LEMD1
1053,FANCA
1054,AGL
1055,GRIA1
1056,PTCHD1-AS
1057,DDIT3
1058,KIAA0930
1059,HRH1
1060,HSPA13
1061,ZC3H15
1062,LZTS1
1063,CBFA2T2
1064,IMMP1L
1065,ABLIM1
1066,PLCH1
1067,CCND3
1068,AL590617.2
1069,TOP2A
1070,WARS
1071,SGO2
1072,CCNA2
1073,CEP83
1074,P2RX7
1075,CTNNA1
1076,AC016205.1
1077,ADCY9
1078,BCL2L1
1079,ZNF883
1080,INPP4B
1081,JAZF1
1082,KIF15
1083,GALNT18
1084,TLN2
1085,NUP54
1086,XKR6
1087,TXNRD1
1088,PPP6C
1089,FAM92A
1090,PAG1
1091,NDUFA9
1092,WLS
1093,HINT2
1094,RAB30-AS1
1095,WWOX
1096,ZC3H4
1097,CORO1B
1098,MSL1
1099,TPM4
1100,BBS9
1101,RBM6
1102,DNAAF5
1103,HS3ST3A1
1104,SLC16A1
1105,MLLT11
1106,GTDC1
1107,TRIL
1108,CYTH3
1109,VRK1
1110,CNKSR3
1111,ANO10
1112,PIGN
1113,SDC3
1114,PLEKHA4
1115,MFSD1
1116,AFF3
1117,ZNRF2P2
1118,TYMS
1119,PRKAR1B
1120,ALDH9A1
1121,EMP1
1122,CLTB
1123,SPTBN2
1124,MORC2
1125,HR
1126,MTUS1
1127,RASAL2
1128,SLC4A4
1129,SOX2-OT
1130,ABCA5
1131,PTBP1
1132,DPM2
1133,YKT6
1134,ANK3
1135,SOX11
1136,TUBGCP2
1137,RNF169
1138,RPL6
1139,SLC39A1
1140,ADGRG1
1141,PDE4B
1142,IKBIP
1143,ODF2
1144,CNR1
1145,C1orf61
1146,CDC20
1147,NAGA
1148,GAS7
1149,LAGE3
1150,ABHD11
1151,SUGT1
1152,CHST11
1153,RPL26
