id,gene_module, gene_short_name
ENSG00000044115.20 ,upregulated_super_cluster_1, CTNNA1
ENSG00000046604.12 ,upregulated_super_cluster_1, DSG2
ENSG00000057252.12 ,upregulated_super_cluster_1, SOAT1
ENSG00000064601.16 ,upregulated_super_cluster_1, CTSA
ENSG00000088448.14 ,upregulated_super_cluster_1, ANKRD10
ENSG00000096696.13 ,upregulated_super_cluster_1, DSP
ENSG00000100888.12 ,upregulated_super_cluster_1, CHD8
ENSG00000103319.11 ,upregulated_super_cluster_1, EEF2K
ENSG00000103811.15 ,upregulated_super_cluster_1, CTSH
ENSG00000106080.10 ,upregulated_super_cluster_1, FKBP14
ENSG00000107679.14 ,upregulated_super_cluster_1, PLEKHA1
ENSG00000107897.18 ,upregulated_super_cluster_1, ACBD5
ENSG00000109265.13 ,upregulated_super_cluster_1, KIAA1211
ENSG00000115107.19 ,upregulated_super_cluster_1, STEAP3
ENSG00000116774.11 ,upregulated_super_cluster_1, OLFML3
ENSG00000117984.13 ,upregulated_super_cluster_1, CTSD
ENSG00000119899.12 ,upregulated_super_cluster_1, SLC17A5
ENSG00000119986.6 u,pregulated_super_cluster_1 ,AVPI1
ENSG00000120594.16 ,upregulated_super_cluster_1, PLXDC2
ENSG00000126860.11 ,upregulated_super_cluster_1, EVI2A
ENSG00000132718.8 u,pregulated_super_cluster_1 ,SYT11
ENSG00000134769.21 ,upregulated_super_cluster_1, DTNA
ENSG00000135744.7 u,pregulated_super_cluster_1 ,AGT
ENSG00000138413.13 ,upregulated_super_cluster_1, IDH1
ENSG00000139173.9 u,pregulated_super_cluster_1 ,TMEM117
ENSG00000141447.17 ,upregulated_super_cluster_1, OSBPL1A
ENSG00000143469.18 ,upregulated_super_cluster_1, SYT14
ENSG00000144228.8 u,pregulated_super_cluster_1 ,SPOPL
ENSG00000145362.17 ,upregulated_super_cluster_1, ANK2
ENSG00000150991.14 ,upregulated_super_cluster_1, UBC
ENSG00000156535.13 ,upregulated_super_cluster_1, CD109
ENSG00000158201.9 u,pregulated_super_cluster_1 ,ABHD3
ENSG00000158321.15 ,upregulated_super_cluster_1, AUTS2
ENSG00000160211.15 ,upregulated_super_cluster_1, G6PD
ENSG00000163430.11 ,upregulated_super_cluster_1, FSTL1
ENSG00000164300.16 ,upregulated_super_cluster_1, SERINC5
ENSG00000164692.17 ,upregulated_super_cluster_1, COL1A2
ENSG00000165434.7 u,pregulated_super_cluster_1 ,PGM2L1
ENSG00000171365.15 ,upregulated_super_cluster_1, CLCN5
ENSG00000172667.10 ,upregulated_super_cluster_1, ZMAT3
ENSG00000172765.16 ,upregulated_super_cluster_1, TMCC1
ENSG00000172878.13 ,upregulated_super_cluster_1, METAP1D
ENSG00000176887.6 u,pregulated_super_cluster_1 ,SOX11
ENSG00000177697.17 ,upregulated_super_cluster_1, CD151
ENSG00000178531.5 u,pregulated_super_cluster_1 ,CTXN1
ENSG00000179954.15 ,upregulated_super_cluster_1, SSC5D
ENSG00000197746.13 ,upregulated_super_cluster_1, PSAP
ENSG00000197872.11 ,upregulated_super_cluster_1, FAM49A
ENSG00000198399.14 ,upregulated_super_cluster_1, ITSN2
ENSG00000204262.11 ,upregulated_super_cluster_1, COL5A2
ENSG00000204580.13 ,upregulated_super_cluster_1, DDR1
ENSG00000215386.11 ,upregulated_super_cluster_1, MIR99AHG
ENSG00000218336.8 u,pregulated_super_cluster_1 ,TENM3
ENSG00000257950.3 u,pregulated_super_cluster_1 ,P2RX5-TAX1BP3
ENSG00000272168.6 u,pregulated_super_cluster_1 ,CASC15
ENSG00000278217.1 u,pregulated_super_cluster_1 ,MALAT1
ENSG00000119514.6 u,pregulated_super_cluster_1 ,GALNT12
ENSG00000163590.13 ,upregulated_super_cluster_1, PPM1L
ENSG00000001461.16 ,upregulated_super_cluster_1, NIPAL3
ENSG00000001629.9 u,pregulated_super_cluster_1 ,ANKIB1
ENSG00000004866.20 ,upregulated_super_cluster_1, ST7
ENSG00000005893.15 ,upregulated_super_cluster_1, LAMP2
ENSG00000006118.14 ,upregulated_super_cluster_1, TMEM132A
ENSG00000006576.16 ,upregulated_super_cluster_1, PHTF2
ENSG00000006715.15 ,upregulated_super_cluster_1, VPS41
ENSG00000008324.11 ,upregulated_super_cluster_1, SS18L2
ENSG00000008517.16 ,upregulated_super_cluster_1, IL32
ENSG00000010278.12 ,upregulated_super_cluster_1, CD9
ENSG00000010322.15 ,upregulated_super_cluster_1, NISCH
ENSG00000010704.18 ,upregulated_super_cluster_1, HFE
ENSG00000011405.13 ,upregulated_super_cluster_1, PIK3C2A
ENSG00000013288.8 u,pregulated_super_cluster_1 ,MAN2B2
ENSG00000013588.7 u,pregulated_super_cluster_1 ,GPRC5A
ENSG00000025293.16 ,upregulated_super_cluster_1, PHF20
ENSG00000047346.12 ,upregulated_super_cluster_1, FAM214A
ENSG00000049759.17 ,upregulated_super_cluster_1, NEDD4L
ENSG00000049860.13 ,upregulated_super_cluster_1, HEXB
ENSG00000055609.17 ,upregulated_super_cluster_1, KMT2C
ENSG00000058668.14 ,upregulated_super_cluster_1, ATP2B4
ENSG00000063660.8 u,pregulated_super_cluster_1 ,GPC1
ENSG00000065054.13 ,upregulated_super_cluster_1, SLC9A3R2
ENSG00000065833.8 u,pregulated_super_cluster_1 ,ME1
ENSG00000066084.12 ,upregulated_super_cluster_1, DIP2B
ENSG00000066322.14 ,upregulated_super_cluster_1, ELOVL1
ENSG00000067113.16 ,upregulated_super_cluster_1, PLPP1
ENSG00000070404.9 u,pregulated_super_cluster_1 ,FSTL3
ENSG00000072274.12 ,upregulated_super_cluster_1, TFRC
ENSG00000073969.18 ,upregulated_super_cluster_1, NSF
ENSG00000076706.16 ,upregulated_super_cluster_1, MCAM
ENSG00000078018.19 ,upregulated_super_cluster_1, MAP2
ENSG00000078804.12 ,upregulated_super_cluster_1, TP53INP2
