STUDY_ID	SAMPLE_ID	EGFR
gbm_tcga_pub2013	TCGA-02-0001-01	NA
gbm_tcga_pub2013	TCGA-02-0003-01	NA
gbm_tcga_pub2013	TCGA-02-0004-01	NA
gbm_tcga_pub2013	TCGA-02-0006-01	NA
gbm_tcga_pub2013	TCGA-02-0007-01	NA
gbm_tcga_pub2013	TCGA-02-0009-01	NA
gbm_tcga_pub2013	TCGA-02-0010-01	NA
gbm_tcga_pub2013	TCGA-02-0011-01	NA
gbm_tcga_pub2013	TCGA-02-0014-01	NA
gbm_tcga_pub2013	TCGA-02-0015-01	NA
gbm_tcga_pub2013	TCGA-02-0016-01	NA
gbm_tcga_pub2013	TCGA-02-0021-01	NA
gbm_tcga_pub2013	TCGA-02-0023-01	NA
gbm_tcga_pub2013	TCGA-02-0024-01	NA
gbm_tcga_pub2013	TCGA-02-0025-01	NA
gbm_tcga_pub2013	TCGA-02-0026-01	NA
gbm_tcga_pub2013	TCGA-02-0027-01	NA
gbm_tcga_pub2013	TCGA-02-0028-01	NA
gbm_tcga_pub2013	TCGA-02-0033-01	NA
gbm_tcga_pub2013	TCGA-02-0034-01	NA
gbm_tcga_pub2013	TCGA-02-0037-01	NA
gbm_tcga_pub2013	TCGA-02-0038-01	NA
gbm_tcga_pub2013	TCGA-02-0039-01	NA
gbm_tcga_pub2013	TCGA-02-0043-01	NA
gbm_tcga_pub2013	TCGA-02-0046-01	NA
gbm_tcga_pub2013	TCGA-02-0047-01	917.99
gbm_tcga_pub2013	TCGA-02-0048-01	NA
gbm_tcga_pub2013	TCGA-02-0051-01	NA
gbm_tcga_pub2013	TCGA-02-0052-01	NA
gbm_tcga_pub2013	TCGA-02-0054-01	NA
gbm_tcga_pub2013	TCGA-02-0055-01	471
gbm_tcga_pub2013	TCGA-02-0057-01	NA
gbm_tcga_pub2013	TCGA-02-0058-01	NA
gbm_tcga_pub2013	TCGA-02-0059-01	NA
gbm_tcga_pub2013	TCGA-02-0060-01	NA
gbm_tcga_pub2013	TCGA-02-0064-01	NA
gbm_tcga_pub2013	TCGA-02-0068-01	NA
gbm_tcga_pub2013	TCGA-02-0069-01	NA
gbm_tcga_pub2013	TCGA-02-0070-01	NA
gbm_tcga_pub2013	TCGA-02-0071-01	NA
gbm_tcga_pub2013	TCGA-02-0074-01	NA
gbm_tcga_pub2013	TCGA-02-0075-01	NA
gbm_tcga_pub2013	TCGA-02-0079-01	NA
gbm_tcga_pub2013	TCGA-02-0080-01	NA
gbm_tcga_pub2013	TCGA-02-0083-01	NA
gbm_tcga_pub2013	TCGA-02-0084-01	NA
gbm_tcga_pub2013	TCGA-02-0085-01	NA
gbm_tcga_pub2013	TCGA-02-0086-01	NA
gbm_tcga_pub2013	TCGA-02-0087-01	NA
gbm_tcga_pub2013	TCGA-02-0089-01	NA
gbm_tcga_pub2013	TCGA-02-0099-01	NA
gbm_tcga_pub2013	TCGA-02-0102-01	NA
gbm_tcga_pub2013	TCGA-02-0104-01	NA
gbm_tcga_pub2013	TCGA-02-0106-01	NA
gbm_tcga_pub2013	TCGA-02-0107-01	NA
gbm_tcga_pub2013	TCGA-02-0111-01	NA
gbm_tcga_pub2013	TCGA-02-0113-01	NA
gbm_tcga_pub2013	TCGA-02-0114-01	NA
gbm_tcga_pub2013	TCGA-02-0115-01	NA
gbm_tcga_pub2013	TCGA-02-0116-01	NA
gbm_tcga_pub2013	TCGA-02-0258-01	NA
gbm_tcga_pub2013	TCGA-02-0260-01	NA
gbm_tcga_pub2013	TCGA-02-0266-01	NA
gbm_tcga_pub2013	TCGA-02-0269-01	NA
gbm_tcga_pub2013	TCGA-02-0271-01	NA
gbm_tcga_pub2013	TCGA-02-0281-01	NA
gbm_tcga_pub2013	TCGA-02-0285-01	NA
gbm_tcga_pub2013	TCGA-02-0289-01	NA
gbm_tcga_pub2013	TCGA-02-0290-01	NA
gbm_tcga_pub2013	TCGA-02-0317-01	NA
gbm_tcga_pub2013	TCGA-02-0321-01	NA
gbm_tcga_pub2013	TCGA-02-0324-01	NA
gbm_tcga_pub2013	TCGA-02-0325-01	NA
gbm_tcga_pub2013	TCGA-02-0326-01	NA
gbm_tcga_pub2013	TCGA-02-0330-01	NA
gbm_tcga_pub2013	TCGA-02-0332-01	NA
gbm_tcga_pub2013	TCGA-02-0333-01	NA
gbm_tcga_pub2013	TCGA-02-0337-01	NA
gbm_tcga_pub2013	TCGA-02-0338-01	NA
gbm_tcga_pub2013	TCGA-02-0339-01	NA
gbm_tcga_pub2013	TCGA-02-0422-01	NA
gbm_tcga_pub2013	TCGA-02-0430-01	NA
gbm_tcga_pub2013	TCGA-02-0432-01	NA
gbm_tcga_pub2013	TCGA-02-0439-01	NA
gbm_tcga_pub2013	TCGA-02-0440-01	NA
gbm_tcga_pub2013	TCGA-02-0446-01	NA
gbm_tcga_pub2013	TCGA-02-0451-01	NA
gbm_tcga_pub2013	TCGA-02-0456-01	NA
gbm_tcga_pub2013	TCGA-02-2466-01	NA
gbm_tcga_pub2013	TCGA-02-2470-01	NA
gbm_tcga_pub2013	TCGA-02-2483-01	451.99
gbm_tcga_pub2013	TCGA-02-2485-01	56853.5
gbm_tcga_pub2013	TCGA-02-2486-01	10044.94
gbm_tcga_pub2013	TCGA-06-0122-01	NA
gbm_tcga_pub2013	TCGA-06-0124-01	NA
gbm_tcga_pub2013	TCGA-06-0125-01	73603.6
gbm_tcga_pub2013	TCGA-06-0126-01	NA
gbm_tcga_pub2013	TCGA-06-0127-01	NA
gbm_tcga_pub2013	TCGA-06-0128-01	NA
gbm_tcga_pub2013	TCGA-06-0129-01	14637.54
gbm_tcga_pub2013	TCGA-06-0130-01	676.95
gbm_tcga_pub2013	TCGA-06-0132-01	14802.82
gbm_tcga_pub2013	TCGA-06-0133-01	NA
gbm_tcga_pub2013	TCGA-06-0137-01	NA
gbm_tcga_pub2013	TCGA-06-0138-01	3001.91
gbm_tcga_pub2013	TCGA-06-0139-01	NA
gbm_tcga_pub2013	TCGA-06-0141-01	1447.99
gbm_tcga_pub2013	TCGA-06-0143-01	NA
gbm_tcga_pub2013	TCGA-06-0145-01	NA
gbm_tcga_pub2013	TCGA-06-0146-01	NA
gbm_tcga_pub2013	TCGA-06-0147-01	NA
gbm_tcga_pub2013	TCGA-06-0148-01	NA
gbm_tcga_pub2013	TCGA-06-0149-01	NA
gbm_tcga_pub2013	TCGA-06-0152-01	NA
gbm_tcga_pub2013	TCGA-06-0154-01	NA
gbm_tcga_pub2013	TCGA-06-0155-01	NA
gbm_tcga_pub2013	TCGA-06-0156-01	2232.91
gbm_tcga_pub2013	TCGA-06-0157-01	30344.81
gbm_tcga_pub2013	TCGA-06-0158-01	48690.06
gbm_tcga_pub2013	TCGA-06-0162-01	NA
gbm_tcga_pub2013	TCGA-06-0164-01	NA
gbm_tcga_pub2013	TCGA-06-0166-01	NA
gbm_tcga_pub2013	TCGA-06-0168-01	487
gbm_tcga_pub2013	TCGA-06-0169-01	NA
gbm_tcga_pub2013	TCGA-06-0171-01	NA
gbm_tcga_pub2013	TCGA-06-0173-01	NA
gbm_tcga_pub2013	TCGA-06-0174-01	1875
gbm_tcga_pub2013	TCGA-06-0175-01	NA
gbm_tcga_pub2013	TCGA-06-0176-01	NA
gbm_tcga_pub2013	TCGA-06-0177-01	NA
gbm_tcga_pub2013	TCGA-06-0178-01	594.98
gbm_tcga_pub2013	TCGA-06-0179-01	NA
gbm_tcga_pub2013	TCGA-06-0182-01	NA
gbm_tcga_pub2013	TCGA-06-0184-01	2362.97
gbm_tcga_pub2013	TCGA-06-0185-01	NA
gbm_tcga_pub2013	TCGA-06-0187-01	171461.54
gbm_tcga_pub2013	TCGA-06-0188-01	NA
gbm_tcga_pub2013	TCGA-06-0189-01	NA
gbm_tcga_pub2013	TCGA-06-0190-01	856
gbm_tcga_pub2013	TCGA-06-0192-01	NA
gbm_tcga_pub2013	TCGA-06-0194-01	NA
gbm_tcga_pub2013	TCGA-06-0195-01	NA
gbm_tcga_pub2013	TCGA-06-0197-01	NA
gbm_tcga_pub2013	TCGA-06-0201-01	NA
gbm_tcga_pub2013	TCGA-06-0206-01	NA
gbm_tcga_pub2013	TCGA-06-0208-01	NA
gbm_tcga_pub2013	TCGA-06-0209-01	NA
gbm_tcga_pub2013	TCGA-06-0210-01	1871.93
gbm_tcga_pub2013	TCGA-06-0211-01	39822.47
gbm_tcga_pub2013	TCGA-06-0213-01	NA
gbm_tcga_pub2013	TCGA-06-0214-01	NA
gbm_tcga_pub2013	TCGA-06-0216-01	NA
gbm_tcga_pub2013	TCGA-06-0219-01	5820.96
gbm_tcga_pub2013	TCGA-06-0221-01	NA
gbm_tcga_pub2013	TCGA-06-0237-01	NA
gbm_tcga_pub2013	TCGA-06-0238-01	247.96
gbm_tcga_pub2013	TCGA-06-0241-01	NA
gbm_tcga_pub2013	TCGA-06-0394-01	NA
gbm_tcga_pub2013	TCGA-06-0397-01	NA
gbm_tcga_pub2013	TCGA-06-0402-01	NA
gbm_tcga_pub2013	TCGA-06-0409-01	NA
gbm_tcga_pub2013	TCGA-06-0410-01	NA
gbm_tcga_pub2013	TCGA-06-0412-01	NA
gbm_tcga_pub2013	TCGA-06-0413-01	NA
gbm_tcga_pub2013	TCGA-06-0414-01	NA
gbm_tcga_pub2013	TCGA-06-0644-01	1172.98
gbm_tcga_pub2013	TCGA-06-0645-01	19365.65
gbm_tcga_pub2013	TCGA-06-0646-01	10582.72
gbm_tcga_pub2013	TCGA-06-0648-01	NA
gbm_tcga_pub2013	TCGA-06-0649-01	1870.96
gbm_tcga_pub2013	TCGA-06-0650-01	NA
gbm_tcga_pub2013	TCGA-06-0686-01	475.95
gbm_tcga_pub2013	TCGA-06-0743-01	21900.85
gbm_tcga_pub2013	TCGA-06-0744-01	72718.31
gbm_tcga_pub2013	TCGA-06-0745-01	19705.31
gbm_tcga_pub2013	TCGA-06-0747-01	80897.21
gbm_tcga_pub2013	TCGA-06-0749-01	972.99
gbm_tcga_pub2013	TCGA-06-0750-01	9471.52
gbm_tcga_pub2013	TCGA-06-0875-01	NA
gbm_tcga_pub2013	TCGA-06-0876-01	NA
gbm_tcga_pub2013	TCGA-06-0877-01	NA
gbm_tcga_pub2013	TCGA-06-0878-01	18257.55
gbm_tcga_pub2013	TCGA-06-0879-01	NA
gbm_tcga_pub2013	TCGA-06-0881-01	NA
gbm_tcga_pub2013	TCGA-06-0882-01	1868.91
gbm_tcga_pub2013	TCGA-06-0939-01	NA
gbm_tcga_pub2013	TCGA-06-1084-01	NA
gbm_tcga_pub2013	TCGA-06-1086-01	NA
gbm_tcga_pub2013	TCGA-06-1087-01	NA
gbm_tcga_pub2013	TCGA-06-1800-01	NA
gbm_tcga_pub2013	TCGA-06-1801-01	NA
gbm_tcga_pub2013	TCGA-06-1802-01	NA
gbm_tcga_pub2013	TCGA-06-1804-01	9007.65
gbm_tcga_pub2013	TCGA-06-1805-01	NA
gbm_tcga_pub2013	TCGA-06-2557-01	56562.05
gbm_tcga_pub2013	TCGA-06-2558-01	3269.99
gbm_tcga_pub2013	TCGA-06-2559-01	4569.93
gbm_tcga_pub2013	TCGA-06-2561-01	3077.94
gbm_tcga_pub2013	TCGA-06-2562-01	978.98
gbm_tcga_pub2013	TCGA-06-2563-01	69975.13
gbm_tcga_pub2013	TCGA-06-2564-01	45743.88
gbm_tcga_pub2013	TCGA-06-2565-01	131413.25
gbm_tcga_pub2013	TCGA-06-2566-01	NA
gbm_tcga_pub2013	TCGA-06-2567-01	10764.82
gbm_tcga_pub2013	TCGA-06-2569-01	3482.92
gbm_tcga_pub2013	TCGA-06-2570-01	1492.96
gbm_tcga_pub2013	TCGA-06-5408-01	23744.26
gbm_tcga_pub2013	TCGA-06-5410-01	592.94
gbm_tcga_pub2013	TCGA-06-5411-01	637.96
gbm_tcga_pub2013	TCGA-06-5412-01	702.97
gbm_tcga_pub2013	TCGA-06-5413-01	54184.6
gbm_tcga_pub2013	TCGA-06-5414-01	120288.68
gbm_tcga_pub2013	TCGA-06-5415-01	144065.46
gbm_tcga_pub2013	TCGA-06-5416-01	356.96
